drug_id,name,normalized_name,source
drug:tagraxofusp,Tagraxofusp,tagraxofusp,ddinter
drug:temsirolimus,Temsirolimus,temsirolimus,ddinter
drug:teprotumumab,Teprotumumab,teprotumumab,ddinter
drug:terbutaline,Terbutaline,terbutaline,ddinter
drug:teriflunomide,Teriflunomide,teriflunomide,ddinter
drug:tesamorelin,Tesamorelin,tesamorelin,ddinter
drug:thiethylperazine,Thiethylperazine,thiethylperazine,ddinter
drug:tioguanine,Tioguanine,tioguanine,ddinter
drug:thioridazine,Thioridazine,thioridazine,ddinter
drug:thyroid_porcine,"Thyroid, porcine",thyroid_porcine,ddinter
drug:thyrotropin_alfa,Thyrotropin alfa,thyrotropin_alfa,ddinter
drug:tipranavir,Tipranavir,tipranavir,ddinter
drug:torasemide,Torasemide,torasemide,ddinter
drug:trabectedin,Trabectedin,trabectedin,ddinter
drug:triamcinolone_ophthalmic,Triamcinolone (ophthalmic),triamcinolone_ophthalmic,ddinter
drug:triamcinolone_topical,Triamcinolone (topical),triamcinolone_topical,ddinter
drug:trichlormethiazide,Trichlormethiazide,trichlormethiazide,ddinter
drug:trifluoperazine,Trifluoperazine,trifluoperazine,ddinter
drug:triflupromazine,Triflupromazine,triflupromazine,ddinter
drug:alimemazine,Alimemazine,alimemazine,ddinter
drug:triptorelin,Triptorelin,triptorelin,ddinter
drug:trovafloxacin,Trovafloxacin,trovafloxacin,ddinter
drug:turmeric,Turmeric,turmeric,ddinter
drug:vorinostat,Vorinostat,vorinostat,ddinter
drug:warfarin,Warfarin,warfarin,ddinter
drug:ziprasidone,Ziprasidone,ziprasidone,ddinter
drug:lidocaine,Lidocaine,lidocaine,ddinter
drug:obeticholic_acid,Obeticholic acid,obeticholic_acid,ddinter
drug:acetohexamide,Acetohexamide,acetohexamide,ddinter
drug:alogliptin,Alogliptin,alogliptin,ddinter
drug:chlorpheniramine,Chlorpheniramine,chlorpheniramine,ddinter
drug:atropine_ophthalmic,Atropine (ophthalmic),atropine_ophthalmic,ddinter
drug:canagliflozin,Canagliflozin,canagliflozin,ddinter
drug:chlorpropamide,Chlorpropamide,chlorpropamide,ddinter
drug:dapagliflozin,Dapagliflozin,dapagliflozin,ddinter
drug:dulaglutide,Dulaglutide,dulaglutide,ddinter
drug:empagliflozin,Empagliflozin,empagliflozin,ddinter
drug:ertugliflozin,Ertugliflozin,ertugliflozin,ddinter
drug:exenatide,Exenatide,exenatide,ddinter
drug:glimepiride,Glimepiride,glimepiride,ddinter
drug:glipizide,Glipizide,glipizide,ddinter
drug:glycopyrronium_topical,Glycopyrronium (topical),glycopyrronium_topical,ddinter
drug:insulin_human,Insulin human,insulin_human,ddinter
drug:insulin_aspart_aspart,Insulin aspart (aspart),insulin_aspart_aspart,ddinter
drug:insulin_aspart_aspart_protamine,Insulin aspart (aspart protamine),insulin_aspart_aspart_protamine,ddinter
drug:insulin_degludec,Insulin degludec,insulin_degludec,ddinter
drug:insulin_detemir,Insulin detemir,insulin_detemir,ddinter
drug:insulin_glargine,Insulin glargine,insulin_glargine,ddinter
drug:insulin_glulisine,Insulin glulisine,insulin_glulisine,ddinter
drug:insulin_human_inhalation_rapid_acting,"Insulin human (inhalation, rapid acting)",insulin_human_inhalation_rapid_acting,ddinter
drug:insulin_human_isophane,Insulin human (isophane),insulin_human_isophane,ddinter
drug:insulin_lispro,Insulin lispro,insulin_lispro,ddinter
drug:insulin_lispro_protamine,Insulin lispro (protamine),insulin_lispro_protamine,ddinter
drug:insulin_human_regular,Insulin human (regular),insulin_human_regular,ddinter
drug:insulin_human_zinc,Insulin human (zinc),insulin_human_zinc,ddinter
drug:insulin_human_zinc_extended,Insulin human (zinc extended),insulin_human_zinc_extended,ddinter
drug:liraglutide,Liraglutide,liraglutide,ddinter
drug:lixisenatide,Lixisenatide,lixisenatide,ddinter
drug:miglitol,Miglitol,miglitol,ddinter
drug:potassium_chloride,Potassium chloride,potassium_chloride,ddinter
drug:potassium_citrate,Potassium citrate,potassium_citrate,ddinter
drug:scopolamine_ophthalmic,Scopolamine (ophthalmic),scopolamine_ophthalmic,ddinter
drug:semaglutide,Semaglutide,semaglutide,ddinter
drug:sitagliptin,Sitagliptin,sitagliptin,ddinter
